Palabra	(Archivo, Cantidad)
709%–79%	(1,1) 
709–712	(8,1) 
709–730	(8,1) 
709–744	(8,1) 
70s	(2,1) (4,1) 
70th	(2,1) 
71	(2,4) (1,3) (4,1) (3,1) 
71%	(5,1) (0,1) (2,2) (1,1) 
71000	(2,1) 
711	(2,1) (9,1) (1,1) 
712	(1,1) (8,1) 
712%	(1,1) 
713789	(2,1) 
714	(1,2) 
714/10	(2,1) 
71500	(4,1) 
716%	(1,1) 
716–734	(2,1) 
716–752	(2,1) 
718	(2,1) (1,3) (9,1) 
718%	(1,1) 
719	(1,1) 
72	(2,1) (3,1) (0,1) (6,1) (9,1) (1,1) 
72%	(2,2) (3,1) (1,1) 
720	(2,2) (1,1) 
72000	(1,1) 
720000	(2,1) 
721	(2,1) 
721%	(6,1) 
721/10	(0,1) 
7210	(1,1) 
722	(2,1) 
723	(1,1) 
723–after	(8,1) 
724	(1,2) (2,1) (5,1) 
725	(1,1) 
72577	(1,1) 
726	(1,1) (2,2) (3,1) 
727	(3,1) 
727%	(3,1) 
7287	(1,1) 
729000	(2,1) 
73	(1,1) (2,1) 
73%	(3,1) (1,2) (5,1) (2,2) (0,1) 
730	(1,1) 
7300	(2,1) 
730000000	(2,1) 
73084	(2,1) 
730s	(1,1) 
731	(3,1) 
7310	(1,1) 
732	(1,1) (7,1) 
734	(1,2) 
734%	(6,1) 
734–752	(2,2) 
735%	(6,1) 
736	(1,1) (2,1) 
736%	(2,2) 
737	(1,1) 
737%	(2,1) 
737/10	(6,1) 
737—modern	(1,1) 
738	(2,1) 
7382	(2,1) 
7387400	(1,1) 
739	(1,1) 
73rd	(0,1) 
73°	(2,1) 
74	(2,1) (0,1) 
74%	(2,3) (1,3) (7,1) (9,2) (3,1) 
740	(1,1) 
7404%	(2,1) 
741	(0,1) (1,1) 
742	(8,1) (2,1) 
743	(8,1) (1,2) 
743–751	(8,1) 
744	(3,1) 
744–747	(8,1) 
745%	(1,1) 
7451	(7,1) 
746	(8,2) (1,1) 
747%	(2,1) 
747–748	(8,1) 
748	(1,1) 
748–768	(8,1) 
749	(2,2) 
7491	(3,1) 
74th	(2,1) 
74°	(2,1) 
74°w	(5,1) 
74°wbrazil	(3,1) 
75	(2,6) (1,4) (7,1) (4,2) (0,1) (5,1) (6,1) 
75%	(2,7) (1,1) (5,1) (6,1) 
750	(2,4) (1,2) 
7500	(2,2) (1,1) 
75000	(1,2) 
750000	(1,2) (0,1) 
751	(1,1) 
7517	(2,1) 
751–768	(8,1) 
751–840	(1,1) 
752	(1,4) 
753	(1,1) 
754	(1,1) (9,1) 
754%	(1,1) 
755	(1,2) 
755%	(2,1) 
756949	(6,1) 
756950	(6,1) 
757%	(2,1) 
757–760	(2,1) 
758%	(3,1) 
759%	(2,1) 
75915	(2,1) 
75canadian	(4,1) 
75°w	(6,1) 
76	(1,3) (0,1) 
76%	(1,5) (2,2) 
7600	(1,1) (9,1) 
761606	(1,1) 
761610	(1,1) 
762191	(2,1) 
763	(1,1) 
765%	(0,1) 
7650%	(2,1) 
765345	(4,1) 
766/10	(1,1) 
767	(1,1) 
768	(1,1) 
768–771	(8,1) 
768–814	(8,1) 
76978	(1,1) 
76th	(2,1) 
77	(1,5) (2,6) (3,1) (4,1) (0,1) 
77%	(2,2) (3,1) (1,1) (5,1) 
770	(5,1) (1,1) (2,2) 
77000	(9,1) 
770000	(9,1) 
771	(1,1) 
771%	(1,1) 
7713	(2,1) 
7714	(0,1) 
772	(1,1) 
773	(2,1) 
773%	(2,1) 
773–774	(1,1) 
774	(2,1) 
774000	(1,1) 
7753	(2,1) 
776	(2,2) 
777	(2,1) 
777%	(1,1) 
7795	(2,1) 
78	(2,3) (0,1) (1,2) (4,1) 
78%	(2,1) (1,3) (6,1) 
78-billion-euro	(2,1) 
780	(2,2) 
7800	(2,1) 
780000	(2,1) 
781%	(2,1) 
781915	(2,1) 
7828	(6,1) 
785	(1,1) 
787	(1,3) 
788	(1,1) (5,1) (2,1) 
78th	(2,1) 
78–79	(2,1) 
79	(0,1) (2,1) (1,1) (5,1) 
79%	(0,1) (6,1) (2,3) (1,2) 
7904	(1,1) 
791	(1,1) 
791109	(1,1) 
793	(2,2) (1,1) 
793%	(2,1) 
7936	(2,1) 
794	(1,1) 
794%	(1,1) 
795	(1,1) (2,1) 
796	(1,1) (2,1) 
796383923	(2,1) 
798	(3,1) 
7980%	(2,1) 
7982	(1,1) 
7987	(2,1) 
79°w	(1,1) 
7th	(1,6) (2,9) (0,1) (8,6) (7,1) (3,2) (9,1) 
7th-largest	(1,1) 
7–9	(2,1) 
7′	(2,1) 
8	(2,13) (9,1) (5,2) (1,13) (6,2) (4,1) (7,2) (3,2) 
8%	(6,3) (2,10) (5,1) (1,4) (3,2) 
80	(2,6) (1,8) (3,1) (4,2) 
80%	(2,9) (6,1) (9,1) (1,2) (3,1) (5,3) 
800	(2,5) (1,12) (5,2) (3,2) (4,1) 
800%	(5,1) 
8000	(2,2) (1,6) (3,1) 
80000	(2,4) (1,1) (4,1) 
80000-strong	(1,1) 
800000	(6,1) (1,2) (2,2) 
800000the	(5,1) 
800–1056	(8,1) 
8019	(2,1) 
802	(1,1) 
802%	(2,1) 
803	(2,1) 
803%	(2,1) 
8034	(2,1) 
804	(1,1) 
8044%	(1,1) 
80500	(1,1) 
806	(2,1) 
806%	(1,1) 
81	(2,1) (1,1) (4,1) 
81%	(1,2) (2,2) (7,1) 
811	(2,1) (4,2) 
812	(1,2) 
812000	(1,1) 
81214	(1,1) 
8124	(1,1) 
814	(1,1) (2,1) 
814%	(1,1) 
8148250	(1,1) 
814–840	(8,1) 
8168	(2,1) 
817	(4,1) 
817–843	(8,1) 
819	(1,1) 
81–102	(2,1) 
82	(2,3) (4,1) (9,1) (1,1) 
82%	(1,2) (2,5) 
82000	(2,1) 
8208	(2,1) 
8211	(2,1) 
8214%	(2,1) 
8235	(2,1) 
824	(5,1) (1,1) 
824%	(1,1) 
824000	(6,1) 
825	(2,1) 
825%	(1,1) 
825°n—which	(4,1) 
826%	(2,1) 
826/10	(1,1) 
8265	(2,1) 
827	(2,1) 
8274325	(1,1) 
82880	(5,1) 
829	(8,1) 
8299%	(1,1) 
829–840	(8,1) 
82bn	(2,1) 
82nd	(2,2) 
82°	(7,1) 
83	(1,3) (4,1) (2,1) 
83%	(3,1) (2,1) (1,2) (6,1) (5,1) 
830%	(2,1) 
830s	(8,1) 
8327	(2,1) 
836%	(2,2) 
837097	(2,1) 
8375%	(3,1) 
83rd	(4,1) 
84	(1,1) 
84%	(1,3) (2,1) (3,2) 
84-seat	(1,1) 
840	(2,1) (1,2) 
8403	(1,1) 
840–843	(8,1) 
84170	(9,1) 
842	(1,1) 
843	(8,3) (1,1) 
8435%	(3,1) 
843–864	(8,1) 
843–876	(8,1) 
843–877	(8,1) 
844	(9,1) (2,1) 
844%	(2,1) 
845697	(2,1) 
847/10	(1,1) 
848%	(2,1) 
849	(1,1) 
8498	(2,1) 
84th	(1,1) 
85	(1,4) (2,3) 
85%	(1,5) (2,2) (6,1) 
850	(2,2) 
850%	(2,1) 
8500	(2,1) 
85000	(4,1) 
850000	(1,3) (2,1) 
8515767049	(3,1) 
8522	(2,1) 
853	(2,1) 
8530	(1,1) 
856%	(2,1) 
856723	(2,1) 
8594	(1,1) 
85984	(6,1) 
85th	(2,1) (0,1) 
85°w	(2,1) 
85–9	(2,1) 
86	(4,1) (5,1) (2,1) 
86%	(1,2) (3,1) (2,2) (6,1) (5,1) 
86000	(1,1) 
860000	(9,1) 
861%	(6,1) 
861000	(6,1) (1,1) 
862	(7,1) 
864	(7,1) 
864–880	(8,1) 
8652	(2,1) 
867–1056	(2,1) 
867–885	(8,1) 
868	(2,2) 
8682	(1,1) 
869	(1,1) 
86th	(1,1) (2,1) 
86°	(1,1) 
87	(7,1) (2,3) (4,1) (9,1) (1,2) 
87%	(1,1) (2,3) 
870	(1,1) 
8700	(1,1) 
8700-strong	(2,1) 
87000	(7,1) 
874%	(0,1) 
876	(8,1) 
876%	(1,1) 
877%	(1,1) 
878/10	(5,1) 
879000	(9,1) 
8794726	(2,1) 
87°	(1,1) 
88	(1,1) (6,2) (3,1) (2,3) (4,1) 
88%	(9,3) (1,1) (2,7) (3,2) (5,1) 
880	(1,1) 
880-882	(8,1) 
880–882	(8,1) 
882	(1,1) (7,1) 
882050	(5,1) 
882–888	(8,1) 
884	(0,1) (1,1) 
884%	(1,1) 
8848	(2,1) 
884–887	(8,2) 
885%	(2,1) 
885000	(1,1) 
886/10	(2,1) 
887	(1,1) 
887960	(1,1) 
887–899	(8,1) 
888	(1,1) 
888–892	(8,1) 
889	(2,1) 
8891	(4,1) 
889–911	(8,1) 
88–93	(1,1) 
89	(2,2) (1,1) (4,2) 
89%	(2,1) (1,1) 
89015	(2,1) 
892	(8,1) 
8957	(1,1) 
8th	(8,3) (1,3) (2,16) (9,1) (5,1) (7,1) 
8th-century	(1,1) 
8½	(1,1) 
8–5nigerias	(2,1) 
9	(2,12) (1,12) (9,1) (7,3) (5,1) (0,1) 
9%	(2,7) (1,4) (0,1) (3,1) (5,1) 
90	(1,3) (2,3) (6,2) (5,1) 
90%	(1,5) (2,7) (0,1) (6,1) (3,1) (7,1) 
90/day—from	(2,1) 
900	(2,8) (1,7) 
900%	(2,1) 
9000	(2,3) (1,3) (7,1) 
90000	(7,1) 
900000	(1,2) 
9000following	(2,1) 
9006	(1,1) 
902	(7,1) 
907	(2,1) 
909	(8,1) 
909–911	(8,1) 
90s	(1,1) (2,1) 
90°w	(6,1) 
90–6542	(1,1) 
91	(5,1) (1,2) (3,1) (2,1) 
91%	(5,1) (2,2) 
91/km2	(9,1) 
910	(2,1) 
91000	(4,1) 
9107	(2,1) 
911	(8,2) 
914	(2,1) 
914%	(2,1) 
915	(8,1) 
9156%	(2,1) 
916445	(5,2) 
918	(8,1) 
918%	(2,1) 
919	(8,2) 
9195%	(1,1) 
91st	(2,1) 
91°w	(1,1) 
91–95	(7,1) 
92%	(2,2) (1,1) (0,1) 
923768	(2,1) 
923769	(2,1) 
924	(2,1) 
924400	(2,1) 
925	(2,1) 
925%	(1,1) 
926%	(2,1) 
92752	(1,1) 
929	(2,1) 
929%	(2,1) 
92–107	(2,1) 
93	(2,4) (1,2) (4,1) 
93%	(1,4) (2,2) (5,2) (9,1) (3,2) 
930	(2,1) 
93206	(2,1) 
934%	(3,1) 
9358166	(2,1) 
9372	(0,1) 
9376	(0,1) 
939%	(2,1) 
9391%	(2,1) 
94	(4,2) (1,3) (2,1) 
94%	(2,2) (1,1) (9,1) 
940	(2,1) 
943	(2,1) 
944%	(1,1) 
9458%	(1,2) 
9486%	(1,1) 
9488671	(1,1) 
95	(1,2) (4,1) (2,2) 
95%	(1,1) (2,8) 
950	(5,1) 
951	(2,1) (7,1) 
952%	(5,1) 
954	(2,1) 
9544	(1,1) 
9563	(1,1) 
9572900	(2,1) 
9573	(2,1) 
9596961	(2,1) 
95th	(1,1) 
96	(2,3) 
96%	(2,2) (1,1) 
960	(2,1) 
960-1127	(2,1) 
960000	(4,1) 
9600000	(2,2) 
962	(1,3) 
963	(1,1) 
963%	(2,1) 
965	(2,1) 
965597	(0,1) 
9656000	(2,1) 
966210	(2,1) 
969%	(1,1) 
96th	(1,1) 
97	(2,1) 
97%	(2,5) (1,3) (3,1) 
97000	(1,1) 
9750000	(2,1) 
978%	(2,1) 
978-0-306-81083-1	(9,1) 
978-0-521-01184-6	(1,1) 
978-0-7315-2132-6	(1,1) 
978-1-4381-0481-2	(0,1) 
978-1-4655-1185-0	(1,1) 
978-1-62948-899-8	(2,1) 
978-1-935049-19-7	(0,1) 
978-1349290512	(2,1) 
978-3-030-78298-6	(2,1) 
978-92-64-14549-8	(0,1) 
978-92-64-18654-5	(0,1) 
978-950-14-0610-8	(0,1) 
978-971-10-0226-8	(1,1) 
978-971-10-0227-5	(1,1) 
978-971-622-006-3	(1,1) 
978-971-642-071-5	(1,1) 
9780333599570	(2,1) 
9781847010278	(2,1) 
97864218	(1,2) 
97th	(1,1) 
97°	(2,1) 
98	(1,1) (2,5) (9,3) 
98%	(2,3) (1,4) (6,1) 
9800	(1,1) (6,1) 
9807%	(0,1) 
9809%	(1,1) 
980–1015	(7,1) 
9823	(3,1) 
983%	(2,1) 
9830	(2,1) 
9843	(1,1) (5,2) 
985%	(2,1) (9,1) 
9866%	(1,2) 
987	(1,2) 
988	(2,1) (7,1) 
98985	(1,1) 
99	(4,1) (1,4) (5,1) 
99%	(2,2) (1,7) (9,1) 
9903268	(2,1) 
991%	(1,1) 
992%	(1,1) 
9930478	(3,1) 
9962%	(2,1) 
998	(2,1) 
998%	(2,1) 
9984670	(4,1) 
999	(2,1) 
99th	(5,1) 
9mobile	(2,1) 
9th	(2,16) (3,1) (1,7) (9,1) (7,2) (8,3) (0,1) 
9°	(1,1) 
9°38–22°53s	(1,1) 
==	(1,256) (2,266) (5,26) (3,26) (4,28) (6,22) (9,24) (0,26) (7,26) (8,12) 
===	(8,12) (2,664) (1,582) (5,66) (3,66) (4,42) (9,76) (6,64) (0,70) (7,62) 
====	(7,30) (2,58) (5,4) (1,66) (9,8) (6,2) 
=====	(1,4) 
?–378	(8,1) 
[1994]	(1,1) 
[1]	(2,1) 
[2]	(2,1) 
[3]	(2,1) 
[4]	(2,1) 
[5]	(2,1) 
[]	(2,2) 
[]the	(1,1) 
[aɾxenˈtina]	(0,1) 
[beneˈswela]	(5,1) 
[bɾaˈziw]	(3,1) 
[dawlat	(2,1) 
[del	(1,1) 
[ekwaˈðoɾ]	(1,1) 
[el	(1,1) 
[eliniˈci	(2,1) 
[eliniˈkos]	(2,1) 
[esˈpaɲa]	(9,1) 
[eˈlas]	(2,1) 
[eˈlaða]	(2,1) 
[hellás]	(2,1) 
[in	(1,1) 
[is]	(2,1) 
[iˈtaːlja]	(1,1) 
[jisʁaˈʔel]	(2,1) 
[koˈlombja]	(1,1) 
[mediˈnat	(2,2) 
[of	(1,1) 
[os	(7,1) 
[peˈɾu]	(2,1) 
[puɾtuˈɣal]	(2,1) 
[pɪɾʊw]	(2,2) 
[reˈpuβlika	(2,1) 
[river]	(1,1) 
[rɐˈsʲijə]	(7,1) 
[t]he	(1,1) 
[to	(2,1) 
[uɾuˈɣwaj]	(1,1) 
[ɡwateˈmala]	(1,1) 
[ɦɪndʊˈstaːn]	(2,1) 
[ʁɛˈpuβlikɐ	(2,1) 
[ʃ]	(1,1) 
[ʒ]	(1,1) 
[ˈbʱaːɾət]	(2,1) 
[ˈkosta	(2,1) 
[ˈkuβa]	(2,1) 
[ˈqɑtˤɑr]	(2,2) 
[ˈɡɪtˤɑr]	(2,1) 
[ˈɡɪtˤɑr]english	(2,1) 
^a	(2,2) 
^b	(2,1) 
a	(2,2257) (1,1998) (7,166) (5,225) (4,165) (0,208) (9,196) (3,200) (6,207) (8,28) 
a1	(2,3) 
a2	(2,1) 
a356	(1,1) 
a5	(2,2) 
a6	(2,2) 
a7	(2,1) 
a8	(2,1) 
aaa	(0,1) (1,1) 
aachen	(1,3) 
aactas	(1,1) 
aare	(8,3) 
aargau	(8,2) 
aa−	(6,1) 
aba	(2,2) 
abaca	(1,1) 
abacha	(2,4) 
abajo	(1,1) 
abakada	(1,1) 
abandon	(2,2) 
abandoned	(2,8) (1,7) (0,1) (3,1) 
abandonedinfant	(5,1) 
abandonment	(2,2) 
abate	(2,1) 
abbadids	(2,1) 
abbas	(2,1) 
abbasid	(2,4) 
abbey	(1,1) (8,1) 
abbondanza	(2,1) 
abbots	(1,1) 
abd	(2,1) 
abd-ar-rahman	(2,1) 
abdalá	(1,1) 
abdel	(2,2) 
abdicate	(7,1) (1,1) (2,1) 
abdicated	(2,2) (9,2) 
abdicating	(3,1) 
abdication	(2,3) (1,2) 
abduction	(2,1) 
abdul	(2,2) (1,1) 
abdulaziz	(2,1) 
abdullah	(2,7) 
abdulsalami	(2,1) 
abel	(1,2) (2,2) 
abella	(1,1) 
abengoa	(9,1) 
abeokuta	(2,1) 
aberdeen	(3,1) 
abhijñānaśākuntalam	(2,1) 
abide	(2,1) 
abiertas	(1,1) 
ability	(1,3) (9,1) (2,7) (4,1) (5,1) 
abiola	(2,1) 
abkhazia	(5,1) 
able	(5,3) (2,16) (7,1) (1,12) (8,1) 
aboard	(7,3) (2,2) (1,1) 
abode	(2,1) 
abolish	(1,3) (2,2) 
abolished	(1,6) (5,2) (2,20) (3,3) (7,1) 
abolishing	(2,1) 
abolishment	(9,1) 
abolition	(9,1) (2,2) (1,2) (6,1) 
abominableuns	(1,1) 
aboriginal	(1,18) (4,3) 
aborrajados	(1,1) 
aborted	(1,2) 
abortion	(1,2) (2,2) 
abortive	(4,1) (2,1) (7,1) 
abound	(6,1) (9,1) 
abounds	(1,1) 
about	(1,105) (9,13) (6,12) (7,17) (5,13) (0,9) (4,7) (2,118) (3,20) 
above	(2,17) (1,18) (4,5) (6,3) (9,3) (0,2) (5,1) 
above-average	(3,1) (2,1) 
above-mentioned	(2,1) 
abra	(1,2) 
abraham	(2,3) 
abrahamic	(2,1) 
abrantes	(2,1) 
abreu	(3,1) 
abroad	(2,17) (9,1) (1,11) (5,3) (0,2) 
abroadnigeria	(2,1) 
abroadthe	(1,1) 
abrogated	(0,1) 
abrupt	(1,1) 
abruptly	(1,1) 
abruzzo	(1,1) 
absconded	(2,1) 
absence	(2,3) (3,1) (1,4) (5,1) 
absences	(1,1) 
absent	(6,1) (1,1) (2,1) 
absolute	(2,11) (1,4) (9,2) (6,5) 
absolutism	(2,1) 
absolutist	(0,1) 
absolutists	(3,1) (9,2) (2,1) 
absolve	(2,1) 
absorb	(1,1) 
absorbed	(1,4) (7,2) (0,1) (2,3) (6,2) (8,1) 
absorber	(9,1) 
absorbing	(9,1) 
absorption	(1,1) 
abstaining	(2,1) 
abstentions	(2,1) 
abstracionism	(3,1) 
abstract	(1,3) (0,1) (2,1) 
abstractaustralian	(1,1) 
abstracted	(2,1) 
abstraction	(1,1) 
abstractionism	(3,1) 
abu	(2,4) 
abubakar	(2,9) 
abuelos	(0,1) 
abuja	(2,8) 
abundance	(1,5) (2,1) 
abundant	(2,4) (4,1) (5,1) (1,2) (7,1) (6,1) (0,1) 
abundantly	(1,1) 
abuse	(2,4) (7,1) (1,1) (6,1) 
abusers	(1,1) 
abuses	(1,2) (2,7) (7,1) (9,1) 
abusessince	(6,1) 
abusive	(2,1) 
abutting	(5,1) 
ac	(2,1) 
academia	(2,2) (9,1) 
academic	(2,7) (3,3) (1,6) 
academicians	(2,1) (7,1) 
academics	(2,2) (5,1) (1,1) (0,1) 
academies	(4,1) 
academy	(4,2) (0,4) (7,2) (1,14) (2,11) (3,6) (5,1) 
academys	(2,1) 
acadian	(4,1) 
acadians	(4,2) 
académie	(3,1) 
acajutla	(1,1) 
acapulco	(2,1) (1,3) 
acarajé	(3,1) 
accavallo	(0,1) 
acceded	(4,1) (7,1) 
acceding	(3,1) 
accelerate	(2,2) (1,1) (6,1) 
accelerated	(2,4) (1,2) 
accelerating	(1,1) 
accent	(6,2) (1,1) 
accented	(6,1) (0,1) 
accents	(1,1) 
accentuated	(1,1) 
accenture	(1,1) 
accept	(3,1) (9,1) (2,5) (1,2) (8,1) 
acceptance	(7,2) (9,1) (1,2) (2,2) (5,1) 
accepted	(5,3) (9,2) (1,6) (4,2) (6,1) (3,1) (2,7) 
accepting	(2,2) (1,2) 
access	(2,25) (1,25) (0,2) (5,2) (6,4) (4,4) (7,3) (3,1) 
accessibility	(2,2) 
accessible	(1,2) (2,1) 
accessing	(2,1) 
accession	(7,1) (2,4) 
accidental	(0,1) 
accidentally	(1,1) 
accidentdeforestation	(1,1) 
accidents	(2,2) (3,1) 
acciona	(9,1) 
acción	(5,1) 
acclaim	(3,1) (2,4) (1,2) (0,1) 
acclaimed	(1,2) (3,2) (5,1) (2,1) (0,3) 
acclamation	(1,1) 
acclimatization	(2,1) 
accolades	(2,2) 
accommodate	(2,4) (4,3) (1,1) 
accommodated	(2,2) 
accommodation	(2,1) (3,1) (1,1) 
accommodations	(1,1) (3,1) (2,1) 
accompanied	(2,6) (1,10) (5,1) 
accompaniment	(1,1) (2,2) 
accompaniments	(2,2) 
accomplice	(1,1) 
accomplished	(2,4) (0,1) (1,2) 
accomplishment	(2,1) 
accomplishments	(4,1) 
accord	(4,1) (1,4) (2,1) 
accordance	(2,4) (1,6) (9,2) (6,1) (7,1) 
accorded	(2,2) 
according	(2,158) (7,10) (1,76) (4,2) (9,8) (6,10) (3,13) (5,10) 
accordingly	(2,2) (1,1) 
accordions	(2,1) 
accordionthe	(1,1) 
accords	(2,7) (1,6) 
accordsduring	(2,1) 
accosting	(2,1) 
account	(2,17) (1,13) (5,3) (0,1) (6,4) 
accountability	(1,1) 
accounted	(2,12) (7,2) (1,9) (0,2) (3,1) 
accounting	(7,1) (1,5) (2,14) (4,2) (9,1) (5,1) (3,2) (6,1) 
accounts	(9,1) (2,10) (1,7) (7,1) (3,2) (5,2) (0,1) 
accredited	(2,3) 
accretion	(4,1) 
acculturated	(2,1) 
acculturation	(2,1) 
accumulated	(6,1) (1,1) (4,1) (3,1) 
accumulates	(2,1) 
accumulating	(2,1) 
accumulation	(6,2) (1,1) 
accumulations	(1,1) 
accumulative	(2,1) 
accurate	(1,3) 
accurately	(1,1) 
accusations	(9,1) (2,2) (1,2) (0,1) 
accuse	(2,1) 
accused	(2,7) (3,1) (1,2) (7,1) (5,1) 
accusing	(2,1) (1,1) 
accustomed	(9,1) 
acerbated	(2,1) 
acero	(1,1) 
acevedo	(1,1) 
achaea	(2,3) 
achaeans	(1,1) 
achaemenid	(2,3) 
achaemenids	(2,2) 
achammer	(1,1) 
achammers	(1,1) 
achebe	(2,3) 
achi-maya	(1,1) 
achieve	(0,1) (2,6) (1,4) (7,1) (6,1) 
achieved	(6,4) (1,18) (0,3) (2,18) (9,2) (3,2) 
achievement	(3,1) (2,2) (1,1) 
achievements	(2,5) (1,3) (0,1) (4,1) (7,2) (3,1) 
achievementspatriotic	(4,1) 
achievements—such	(2,1) 
achieves	(1,1) 
achieving	(1,3) (2,5) (6,2) (0,1) 
achuar	(1,1) 
achuar-shiwiar	(1,1) 
acid	(4,1) 
acitrón	(1,1) 
acknowledge	(2,1) 
acknowledged	(1,5) (5,1) (8,1) (2,2) 
acknowledgement	(2,1) 
acknowledges	(2,1) 
acolman	(1,1) 
acompañados	(0,1) 
aconcagua	(0,1) (6,4) 
acoustics	(0,1) 
acquire	(1,1) 
acquired	(1,5) (6,1) (2,5) (3,1) 
acquirement	(6,1) 
acquires	(1,1) 
acquiring	(1,2) (2,1) 
acquisition	(2,3) 
acquittal	(1,1) 
acquitted	(1,1) 
acre	(2,3) (1,4) (3,2) 
acres	(2,3) (1,4) 
acrobatic	(1,1) 
acrobatics	(1,1) 
acronym	(2,1) 
acronyms	(1,1) 
across	(1,32) (2,51) (4,6) (9,11) (0,7) (3,2) (7,13) (8,2) 
acs	(9,1) 
act	(9,1) (1,21) (2,15) (5,1) (4,26) (3,4) 
acta	(2,1) 
acted	(9,1) (5,1) (1,1) (2,3) 
acting	(0,2) (2,1) (1,3) 
action	(1,18) (2,18) (5,2) (6,3) (9,1) 
action-adventure	(1,1) 
actions	(1,6) (2,10) (5,1) (0,2) (3,1) 
actionsduring	(1,1) 
activating	(2,1) 
active	(2,29) (1,28) (4,6) (9,3) (6,3) (3,3) (5,1) (0,1) (7,2) 
active-duty	(7,1) 
activein	(2,1) 
actively	(1,1) (2,3) (5,2) (6,1) (0,1) 
activelywhile	(1,1) 
activism	(2,1) 
activist	(1,1) (2,1) 
activists	(0,2) (1,5) (2,1) (7,1) (6,1) 
activities	(1,15) (2,15) (4,1) (9,3) (6,4) (5,2) (3,6) (7,1) 
activity	(1,14) (2,13) (6,2) 
acto	(1,1) 
actopan	(1,1) 
actor	(2,2) (1,1) 
actors	(1,6) (2,3) (5,1) (6,1) 
actress	(2,1) (0,4) (1,1) (3,1) 
actresses	(1,4) 
acts	(1,5) (2,8) (4,1) (9,2) (7,2) (5,1) 
actual	(2,3) (1,5) 
actuality	(1,1) 
actually	(1,3) (2,2) (9,1) 
acurio	(2,1) 
acute	(2,4) 
acústica	(5,1) 
ad	(5,4) (2,17) (4,2) (1,19) (3,1) 
ada	(2,1) 
adaid	(2,1) 
adalbert	(8,1) 
adalberto	(1,1) 
adalgisel	(1,1) 
adalrich	(8,1) 
adam	(2,1) 
adamant	(2,1) 
adamantios	(2,2) 
adams	(2,1) 
adapt	(2,2) 
adaptation	(1,1) (2,2) (7,2) 
adapted	(7,1) (5,1) (4,3) (1,1) (2,3) 
adapting	(1,1) 
add	(1,4) (5,1) (9,1) (6,1) 
addaura	(1,1) 
added	(1,11) (2,15) (7,1) (4,2) (9,2) 
adding	(4,1) (2,1) (1,2) (6,1) (5,1) 
addition	(5,5) (2,29) (1,32) (7,2) (4,4) (3,3) (6,4) (0,3) (9,3) 
additional	(2,14) (1,7) (4,1) (7,1) (9,1) (6,3) 
additionally	(2,11) (1,3) (3,1) (4,1) (9,2) 
additions	(2,2) 
address	(1,2) (2,3) 
addressed	(9,1) 
addressing	(2,1) (4,1) 
addressspain	(9,1) 
ade	(2,1) 
adelaide	(1,2) 
adelaidein	(1,1) 
ademoyega	(2,1) 
adenas	(5,1) 
adentro	(5,2) 
adequate	(5,1) (2,3) 
adetiba	(2,1) 
adewale	(2,1) 
adf—comprise	(1,1) 
adhemar	(3,1) 
adhere	(1,4) (2,2) (6,1) 
adhered	(1,2) (2,2) 
adherence	(2,3) (4,1) (6,1) (1,1) 
adherents	(9,1) (2,3) (1,4) (4,1) 
adheres	(1,2) 
adhering	(1,1) (6,1) 
adi	(2,1) 
adige	(1,1) 
adige-south	(1,1) 
adige/südtirol	(1,1) 
adjacent	(1,3) (2,2) (9,2) 
adjectival	(2,1) (8,1) 
adjective	(1,1) (0,1) 
adjoining	(1,2) 
adjoins	(1,1) 
adjunct	(7,1) 
adjust	(2,1) 
adjusting	(2,1) 
admininistration	(2,1) 
administer	(7,1) (0,1) (2,1) 
administered	(7,1) (1,10) (5,2) (4,1) (3,1) (2,2) (0,2) (9,1) 
administers	(1,2) 
administración	(1,1) (0,1) 
administration	(0,6) (1,29) (2,37) (6,2) (5,3) (7,2) (3,2) (4,1) (8,1) (9,1) 
administrationdespite	(2,1) 
administrationofficial	(2,1) 
administrations	(0,1) (2,5) (6,1) (1,5) (7,1) (3,2) (9,1) 
administrativas	(5,1) 
administrative	(5,2) (1,37) (2,36) (6,2) (3,5) (9,4) 
administratively	(2,2) (6,1) 
administrator	(2,2) (1,2) 
administrators	(2,1) (1,1) 
admirable	(5,1) 
admiral	(1,4) (2,3) 
admiralty	(1,1) 
admiration	(2,3) 
admire	(6,1) (1,1) 
admired	(2,2) (1,1) 
admirer	(1,1) 
admission	(2,2) (9,1) 
admissions	(2,1) 
admit	(2,1) 
admitted	(2,6) (1,3) (0,1) (4,1) (9,1) 
admixed	(1,2) 
admixture	(1,4) 
adn	(1,1) 
adolescents	(2,1) 
adolf	(2,1) (1,1) 
adolfo	(1,2) (0,3) (9,1) 
adolphe-basile	(4,1) 
adopt	(1,2) (2,4) (5,1) 
adopted	(2,20) (1,29) (7,2) (4,2) (5,1) (6,3) (3,1) (9,1) (0,1) 
adopting	(1,3) 
adoption	(1,6) (2,6) (4,1) (5,1) 
adopts	(7,1) 
adoum	(1,1) 
adria	(1,1) 
adriano	(5,1) 
adriatic	(1,6) (2,1) 
adult	(7,1) (2,8) (1,7) (4,2) (5,2) 
adultery	(2,2) 
adults	(1,2) (7,1) (4,4) (2,4) 
advance	(2,6) (1,1) 
advance-fee	(2,1) 
